id,dataset_name,dataset_group,input_size,horizon,num_layers,hidden_size,max_steps,learning_rate,batch_size,scaler_type,total_params,smape,is_better,mlp.0.weight_mean,mlp.0.weight_median,mlp.0.weight_std,mlp.0.weight_max,mlp.0.weight_min,mlp.1.weight_mean,mlp.1.weight_median,mlp.1.weight_std,mlp.1.weight_max,mlp.1.weight_min,mlp.2.weight_mean,mlp.2.weight_median,mlp.2.weight_std,mlp.2.weight_max,mlp.2.weight_min,out.weight_mean,out.weight_median,out.weight_std,out.weight_max,out.weight_min
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0001_batch_size_32_scaler_type_standard,Gluonts,m1_monthly,12,8,3,32,200,0.0001,32,standard,2792,0.0791381374001503,True,0.004057992249727249,-0.0056634582579135895,0.1648191213607788,0.30194491147994995,-0.2891404926776886,0.0009484513429924846,-0.00028852513059973717,0.10382604598999023,0.20045526325702667,-0.19084127247333527,1.3517332263290882e-05,0.0029767490923404694,0.1018899530172348,0.20514340698719025,-0.18694567680358887,0.012059222906827927,0.012784510850906372,0.10203792154788971,0.19657257199287415,-0.189210906624794
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0001_batch_size_32_scaler_type_robust,Gluonts,m1_monthly,12,8,3,32,200,0.0001,32,robust,2792,0.0796995759010315,True,0.004537323024123907,-0.0040244790725409985,0.16472125053405762,0.3017295300960541,-0.28906679153442383,0.0007206833688542247,-0.000510490033775568,0.1036696806550026,0.2003907561302185,-0.18918098509311676,0.0006765312282368541,0.0019491955172270536,0.10173656791448593,0.20370988547801971,-0.18911747634410858,0.012953750789165497,0.01220126636326313,0.10214565694332123,0.1961526870727539,-0.18185164034366608
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0001_batch_size_64_scaler_type_identity,Gluonts,m1_monthly,12,8,3,32,200,0.0001,64,identity,2792,0.7169283032417297,False,0.012228459119796753,0.007023300975561142,0.1652539074420929,0.31534188985824585,-0.2880556881427765,0.0018482264131307602,-0.0022608975414186716,0.10433236509561539,0.20182396471500397,-0.18976804614067078,0.004245069809257984,0.004624665714800358,0.10241387039422989,0.2013900876045227,-0.18232357501983643,0.018335776403546333,0.01812577433884144,0.1027040183544159,0.20099592208862305,-0.17104516923427582
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0001_batch_size_64_scaler_type_standard,Gluonts,m1_monthly,12,8,3,32,200,0.0001,64,standard,2792,0.07907959818840027,True,0.004091985989362001,-0.006360230967402458,0.16492244601249695,0.30163130164146423,-0.28826695680618286,0.0012005814351141453,-0.000935902411583811,0.10382124781608582,0.20087094604969025,-0.1924743950366974,0.0002784228418022394,0.0033725989051163197,0.10193399339914322,0.20569321513175964,-0.18821550905704498,0.012392764911055565,0.014278467744588852,0.10211890935897827,0.19757133722305298,-0.19045589864253998
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0001_batch_size_64_scaler_type_robust,Gluonts,m1_monthly,12,8,3,32,200,0.0001,64,robust,2792,0.07963741570711136,True,0.004527896177023649,-0.0056279683485627174,0.1648905873298645,0.30295857787132263,-0.29108718037605286,0.000821736641228199,-0.0011122296564280987,0.10366855561733246,0.20081479847431183,-0.19036607444286346,0.0010574015323072672,0.0030970233492553234,0.1017158180475235,0.20371758937835693,-0.1898050308227539,0.013148406520485878,0.013059163466095924,0.10217777639627457,0.19707150757312775,-0.18521104753017426
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0001_batch_size_128_scaler_type_identity,Gluonts,m1_monthly,12,8,3,32,200,0.0001,128,identity,2792,0.6747897863388062,False,0.013575221411883831,0.008264610543847084,0.16542653739452362,0.31748631596565247,-0.2880774140357971,0.002322121988981962,-0.0012098820880055428,0.10453985631465912,0.20371638238430023,-0.1905139684677124,0.004910574294626713,0.004609536845237017,0.10252566635608673,0.20348826050758362,-0.18256032466888428,0.019717849791049957,0.017368324100971222,0.10290614515542984,0.20325957238674164,-0.17012371122837067
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0001_batch_size_128_scaler_type_standard,Gluonts,m1_monthly,12,8,3,32,200,0.0001,128,standard,2792,0.0790250301361084,True,0.0042141214944422245,-0.006241416558623314,0.16488958895206451,0.30239495635032654,-0.28808894753456116,0.0013529292773455381,-0.0005590996006503701,0.10390569269657135,0.20063146948814392,-0.19461499154567719,0.00027626415248960257,0.00312658678740263,0.10204819589853287,0.20630303025245667,-0.18783444166183472,0.013040965422987938,0.013697672635316849,0.1022472009062767,0.19996950030326843,-0.19009718298912048
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0001_batch_size_128_scaler_type_robust,Gluonts,m1_monthly,12,8,3,32,200,0.0001,128,robust,2792,0.07955861836671829,True,0.004380648955702782,-0.005094138905405998,0.1649733930826187,0.3032587468624115,-0.2932566702365875,0.001038473448716104,-0.0009807659080252051,0.10375776886940002,0.20097152888774872,-0.1923266053199768,0.0011027173604816198,0.0028235127683728933,0.10185026377439499,0.20400658249855042,-0.18936707079410553,0.013707135803997517,0.01320732943713665,0.10229315608739853,0.20033970475196838,-0.18333372473716736
Gluonts_m1_monthly_hidden_size_32_max_steps_500_learning_rate_0.001_batch_size_32_scaler_type_identity,Gluonts,m1_monthly,12,8,3,32,500,0.001,32,identity,2792,0.08614551275968552,False,0.024705521762371063,0.02481457032263279,0.1712125986814499,0.37472572922706604,-0.39701777696609497,0.02210116758942604,0.016234837472438812,0.12311147153377533,0.4510193169116974,-0.5304003953933716,0.02622363343834877,0.025518419221043587,0.11363391578197479,0.37535613775253296,-0.24112801253795624,0.04733505845069885,0.04934285953640938,0.10562954097986221,0.2519797384738922,-0.15856654942035675
Gluonts_m1_monthly_hidden_size_32_max_steps_500_learning_rate_0.001_batch_size_32_scaler_type_standard,Gluonts,m1_monthly,12,8,3,32,500,0.001,32,standard,2792,0.0720481351017952,True,0.03273506835103035,0.015815410763025284,0.20760184526443481,0.6873595714569092,-0.7165471911430359,0.022746773436665535,0.026699736714363098,0.14607925713062286,0.5608213543891907,-0.537713348865509,0.008914976380765438,0.01218852773308754,0.14931172132492065,0.4339231252670288,-0.49119171500205994,0.0313180536031723,0.03428304195404053,0.14102564752101898,0.3903561234474182,-0.5064719319343567
Gluonts_m1_monthly_hidden_size_32_max_steps_500_learning_rate_0.001_batch_size_32_scaler_type_robust,Gluonts,m1_monthly,12,8,3,32,500,0.001,32,robust,2792,0.07131101191043854,True,0.029050083830952644,0.01880030333995819,0.20754720270633698,0.6323646903038025,-0.727342426776886,0.02380489371716976,0.019169485196471214,0.14561723172664642,0.6191707253456116,-0.43783003091812134,0.019314773380756378,0.02362453192472458,0.14879897236824036,0.547156035900116,-0.536801815032959,0.03453689068555832,0.03906217962503433,0.12569209933280945,0.3646998703479767,-0.4976692795753479
Gluonts_m1_monthly_hidden_size_32_max_steps_500_learning_rate_0.001_batch_size_64_scaler_type_identity,Gluonts,m1_monthly,12,8,3,32,500,0.001,64,identity,2792,0.08297938108444214,False,0.024753054603934288,0.023479580879211426,0.1723925918340683,0.3816148340702057,-0.40205639600753784,0.023270204663276672,0.020398475229740143,0.1251102089881897,0.45717740058898926,-0.30607840418815613,0.02836352400481701,0.027199067175388336,0.11836403608322144,0.3643472194671631,-0.631271481513977,0.049593497067689896,0.05095251649618149,0.10546712577342987,0.29219144582748413,-0.15865391492843628
Gluonts_m1_monthly_hidden_size_32_max_steps_500_learning_rate_0.001_batch_size_64_scaler_type_standard,Gluonts,m1_monthly,12,8,3,32,500,0.001,64,standard,2792,0.07301724702119827,True,0.0265088751912117,0.014666262082755566,0.20623566210269928,0.6326281428337097,-0.6795252561569214,0.020261267200112343,0.020383909344673157,0.15036270022392273,0.6069583892822266,-0.4635457694530487,0.011456722393631935,0.011581522412598133,0.1546430140733719,0.48355796933174133,-0.5416370034217834,0.03065497986972332,0.03751636669039726,0.14271385967731476,0.3914116322994232,-0.5562938451766968
Gluonts_m1_monthly_hidden_size_32_max_steps_500_learning_rate_0.001_batch_size_64_scaler_type_robust,Gluonts,m1_monthly,12,8,3,32,500,0.001,64,robust,2792,0.0713668242096901,True,0.02312415838241577,0.008283787406980991,0.20607970654964447,0.6222133040428162,-0.6672954559326172,0.02083030715584755,0.014380536042153835,0.14796817302703857,0.6310068964958191,-0.4180881679058075,0.016481991857290268,0.014624357223510742,0.142744779586792,0.5347044467926025,-0.5332421660423279,0.04366761073470116,0.04333999380469322,0.13214750587940216,0.3649986684322357,-0.5277820229530334
Gluonts_m1_monthly_hidden_size_32_max_steps_500_learning_rate_0.001_batch_size_128_scaler_type_identity,Gluonts,m1_monthly,12,8,3,32,500,0.001,128,identity,2792,0.07979436963796616,True,0.022707194089889526,0.022671885788440704,0.17424330115318298,0.37905043363571167,-0.42821162939071655,0.022596554830670357,0.018820006400346756,0.12770976126194,0.5168502330780029,-0.29073289036750793,0.026970399543642998,0.026636861264705658,0.1152847558259964,0.35370105504989624,-0.27405062317848206,0.045781008899211884,0.04651842266321182,0.10590203106403351,0.2888294458389282,-0.16032080352306366
