id,dataset_name,dataset_group,input_size,horizon,num_layers,hidden_size,max_steps,learning_rate,batch_size,scaler_type,total_params,smape,is_better,mlp.0.weight_mean,mlp.0.weight_median,mlp.0.weight_std,mlp.0.weight_max,mlp.0.weight_min,mlp.0.weight_frobenius_norm,mlp.0.weight_spectral_norm,mlp.0.weight_alpha,mlp.1.weight_mean,mlp.1.weight_median,mlp.1.weight_std,mlp.1.weight_max,mlp.1.weight_min,mlp.1.weight_frobenius_norm,mlp.1.weight_spectral_norm,mlp.1.weight_alpha,mlp.2.weight_mean,mlp.2.weight_median,mlp.2.weight_std,mlp.2.weight_max,mlp.2.weight_min,mlp.2.weight_frobenius_norm,mlp.2.weight_spectral_norm,mlp.2.weight_alpha,out.weight_mean,out.weight_median,out.weight_std,out.weight_max,out.weight_min,out.weight_frobenius_norm,out.weight_spectral_norm,out.weight_alpha
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.005_batch_size_32_scaler_type_robust,Gluonts,m1_monthly,12,8,3,64,1000,0.005,32,robust,9672,0.06835845112800598,True,0.04648764431476593,0.034954242408275604,0.2538392245769501,1.2071559429168701,-1.1568957567214966,7.151594638824463,3.7645881175994873,1.996177069577947,-0.038138166069984436,-0.03708196431398392,0.2116357982158661,0.9411337971687317,-1.2170075178146362,13.762862205505371,5.579275131225586,1.1265833255077482,-0.021421410143375397,-0.022013217210769653,0.1719103455543518,1.0091859102249146,-0.8744010329246521,11.087350845336914,3.8548805713653564,1.0928825625467575,-0.0009618627373129129,0.005483107641339302,0.0909968763589859,0.2345428317785263,-0.3986871838569641,2.0591394901275635,1.1408355236053467,2.198862473547462
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.005_batch_size_32_scaler_type_minmax,Gluonts,m1_monthly,12,8,3,64,1000,0.005,32,minmax,9672,0.0823945552110672,True,0.021254763007164,0.023943763226270676,0.2691427767276764,1.0254547595977783,-2.175750970840454,7.481925964355469,4.980413913726807,1.9127577346313953,-0.05242620036005974,-0.0406234934926033,0.17688393592834473,0.9229357838630676,-1.366823673248291,11.80733871459961,5.633680820465088,1.1122189861458927,-0.031757913529872894,-0.02452152967453003,0.1676744818687439,1.7092617750167847,-1.243086814880371,10.921951293945312,4.586465835571289,1.078425151916616,0.006547842640429735,0.012686040252447128,0.08020952343940735,0.23369137942790985,-0.2206224948167801,1.8209718465805054,0.9380960464477539,2.396647164960151
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.005_batch_size_64_scaler_type_identity,Gluonts,m1_monthly,12,8,3,64,1000,0.005,64,identity,9672,0.08106623589992523,True,-0.037930216640233994,-0.0385027676820755,0.21294055879116058,0.5236329436302185,-1.033024787902832,5.9940690994262695,2.64095401763916,1.836187134171062,-0.0073614162392914295,-0.00629716832190752,0.20365481078624725,2.3608686923980713,-3.8322465419769287,13.042420387268066,8.553564071655273,1.1558560129369382,-0.005915215238928795,-0.005901011638343334,0.10768570005893707,1.2399429082870483,-1.294775128364563,6.902275085449219,2.560628652572632,1.154989591156889,0.03428965061903,0.03424600884318352,0.08394844084978104,0.3273228406906128,-0.2733164131641388,2.051886558532715,1.2492091655731201,2.348132269452316
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.005_batch_size_64_scaler_type_standard,Gluonts,m1_monthly,12,8,3,64,1000,0.005,64,standard,9672,0.06682034581899643,True,0.03769311681389809,0.033409617841243744,0.24079573154449463,0.7996538281440735,-1.9561095237731934,6.75438928604126,3.352786064147949,2.0812430172554057,-0.021246522665023804,-0.020849864929914474,0.1815827637910843,0.8043326735496521,-1.3315943479537964,11.700578689575195,4.124266624450684,1.1128679458999144,-0.006870723329484463,-0.007959311828017235,0.1631597876548767,1.1879373788833618,-0.8484841585159302,10.451480865478516,4.004082202911377,1.1127919137527138,0.004471753723919392,0.0035234750248491764,0.10553434491157532,0.3972375690937042,-0.49905574321746826,2.3901124000549316,1.432909369468689,2.356988078210915
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.005_batch_size_64_scaler_type_robust,Gluonts,m1_monthly,12,8,3,64,1000,0.005,64,robust,9672,0.06757298856973648,True,0.0387067012488842,0.028848696500062943,0.24922046065330505,1.1976475715637207,-1.3092892169952393,6.989402770996094,4.0194220542907715,2.1035547948916506,-0.04079145938158035,-0.036719802767038345,0.20516547560691833,1.0075424909591675,-1.2545207738876343,13.387603759765625,5.242618560791016,1.0961725671408085,-0.02262086793780327,-0.024070827290415764,0.19094091653823853,1.438659429550171,-1.1203889846801758,12.305675506591797,4.503637790679932,1.1385932012313447,0.004436127375811338,0.00999366119503975,0.11196447908878326,0.2722904682159424,-0.6796071529388428,2.535454750061035,1.4047797918319702,2.218805781815763
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.005_batch_size_64_scaler_type_minmax,Gluonts,m1_monthly,12,8,3,64,1000,0.005,64,minmax,9672,0.07067357003688812,True,0.013492736034095287,0.023401334881782532,0.2711220979690552,0.7929502725601196,-2.076383113861084,7.522855281829834,5.368297100067139,2.2036729839488878,-0.043858692049980164,-0.029992254450917244,0.1799323707818985,1.3456556797027588,-1.598233699798584,11.852834701538086,5.22149658203125,1.0905571397596237,-0.01866266503930092,-0.01842624694108963,0.15635286271572113,1.0584057569503784,-1.0511552095413208,10.077615737915039,4.126742839813232,1.0907094220154587,-0.004801704082638025,0.0018305899575352669,0.10020402818918228,0.27338311076164246,-0.3852217495441437,2.2699599266052246,1.3799567222595215,2.1139884889519003
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.005_batch_size_128_scaler_type_identity,Gluonts,m1_monthly,12,8,3,64,1000,0.005,128,identity,9672,0.07795512676239014,True,-0.026316067203879356,-0.021782755851745605,0.20998059213161469,0.6093464493751526,-0.9910702705383301,5.8646745681762695,2.4014155864715576,2.0038178572680243,-0.00987292267382145,-0.006614563055336475,0.18674170970916748,0.9990895390510559,-3.398754835128784,11.968159675598145,6.155457019805908,1.0977970650570223,-0.009191079996526241,-0.005940086208283901,0.12685754895210266,0.7604847550392151,-2.5415537357330322,8.140164375305176,4.316588878631592,1.0971325849268654,0.039882853627204895,0.03524089977145195,0.0966944545507431,0.47962838411331177,-0.4791852533817291,2.3667521476745605,1.3851593732833862,1.998088006536852
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.005_batch_size_128_scaler_type_standard,Gluonts,m1_monthly,12,8,3,64,1000,0.005,128,standard,9672,0.06857957690954208,True,0.07023738324642181,0.05821490287780762,0.2591661214828491,0.9569265842437744,-1.4782650470733643,7.441309452056885,3.4312901496887207,1.9064852040751297,-0.03304537385702133,-0.03651398420333862,0.2167186588048935,0.9511919021606445,-1.2249361276626587,14.030309677124023,5.453714847564697,1.1081591268533495,-0.015370504930615425,-0.015618078410625458,0.18897712230682373,1.468515396118164,-1.0378780364990234,12.134474754333496,4.908239364624023,1.1411503760723665,0.0013460787013173103,-8.746713865548372e-05,0.08788347989320755,0.31405705213546753,-0.4508361518383026,1.9888094663619995,0.9491112232208252,2.3179204335982044
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.005_batch_size_128_scaler_type_robust,Gluonts,m1_monthly,12,8,3,64,1000,0.005,128,robust,9672,0.06832394748926163,True,0.04157442972064018,0.033101797103881836,0.26243898272514343,1.326459288597107,-1.4326367378234863,7.363615989685059,4.32260274887085,2.0876170057987573,-0.03946121782064438,-0.04238317906856537,0.2222500592470169,1.0633689165115356,-1.2124032974243164,14.446471214294434,6.004805564880371,1.0767038240749596,-0.016839809715747833,-0.016869666054844856,0.18795716762542725,1.20615816116333,-1.0513312816619873,12.077442169189453,4.433417320251465,1.1297596449289216,-0.0002891740296036005,0.003919058479368687,0.09070970863103867,0.24343924224376678,-0.34416913986206055,2.052536964416504,1.0714099407196045,1.9680715302689515
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.005_batch_size_128_scaler_type_minmax,Gluonts,m1_monthly,12,8,3,64,1000,0.005,128,minmax,9672,0.07130143791437149,True,0.023090803995728493,0.023035848513245583,0.2777526378631592,0.885587751865387,-2.5506327152252197,7.723859786987305,5.51071834564209,1.9522364336967664,-0.047126635909080505,-0.03982165455818176,0.1757853627204895,1.0959566831588745,-1.2530022859573364,11.64754581451416,5.77681827545166,1.1024392424732614,-0.02496069297194481,-0.02751440927386284,0.15051931142807007,1.1946886777877808,-0.9952312111854553,9.764793395996094,3.8339312076568604,1.0851991868604534,0.0017993398942053318,0.0024375393986701965,0.10467761754989624,0.3532088100910187,-0.36115169525146484,2.368933916091919,1.5922383069992065,2.105299688685485
