,start,step_10,step_25,step_50,step_100,step_200,step_300,step_400,step_500
weights_step_50_mlp.1.weight_frobenius_norm,,,,0.0036548662465065718,0.0036548662465065718,0.005267084110528231,0.0031288398895412683,0.002232756931334734,0.002232756931334734
weights_step_50_mlp.1.weight_spectral_norm,,,,0.003327799728140235,0.003327799728140235,0.0030213389545679092,0.0024291006848216057,0.001937403460033238,0.001937403460033238
weights_step_50_mlp.1.weight_alpha,,,,0.0038633488584309816,0.0038633488584309816,0.0026528348680585623,0.001622697222046554,0.0014238543808460236,0.0014238543808460236
weights_step_50_mlp.1.weight_alpha_hat,,,,0.004679141100496054,0.004679141100496054,0.004553284030407667,0.0030191761907190084,0.0030028605833649635,0.0030028605833649635
weights_step_50_mlp.2.weight_input_size,,,,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_50_mlp.2.weight_output_size,,,,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_50_mlp.2.weight_mean,,,,0.005481013562530279,0.005481013562530279,0.004134910646826029,0.004742220975458622,0.0037942032795399427,0.0037942032795399427
weights_step_50_mlp.2.weight_median,,,,0.0038568228483200073,0.0038568228483200073,0.003474103519693017,0.0036605203058570623,0.002346997382119298,0.002346997382119298
weights_step_50_mlp.2.weight_std,,,,0.004400669131428003,0.004400669131428003,0.001765725202858448,0.0009828793117776513,0.0016577244969084859,0.0016577244969084859
weights_step_50_mlp.2.weight_max,,,,0.0004787886282429099,0.0004787886282429099,0.0012757378863170743,0.0011734768049791455,0.0004922198131680489,0.0004922198131680489
weights_step_50_mlp.2.weight_min,,,,0.0009496588609181345,0.0009496588609181345,0.0016472232528030872,0.0014577911933884025,0.0006573675200343132,0.0006573675200343132
weights_step_50_mlp.2.weight_var,,,,0.0015585441142320633,0.0015585441142320633,0.0,0.0007880313787609339,0.0003755275683943182,0.0003755275683943182
weights_step_50_mlp.2.weight_frobenius_norm,,,,0.003834694856777787,0.003834694856777787,0.002302474109455943,0.0016746692126616836,0.0009245520923286676,0.0009245520923286676
weights_step_50_mlp.2.weight_spectral_norm,,,,0.004066662862896919,0.004066662862896919,0.004584857728332281,0.003383074188604951,0.0031694378703832626,0.0031694378703832626
weights_step_50_mlp.2.weight_alpha,,,,0.0039232890121638775,0.0039232890121638775,0.00349221914075315,0.0031388718634843826,0.003061749739572406,0.003061749739572406
weights_step_50_mlp.2.weight_alpha_hat,,,,0.0025375057011842728,0.0025375057011842728,0.002183730946853757,0.0017033786280080676,0.0015774437924847007,0.0015774437924847007
weights_step_50_out.weight_input_size,,,,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_50_out.weight_output_size,,,,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_50_out.weight_mean,,,,0.0044943238608539104,0.0044943238608539104,0.0033032570499926805,0.0024729743599891663,0.0016117111081257463,0.0016117111081257463
weights_step_50_out.weight_median,,,,0.004356516990810633,0.004356516990810633,0.003150996984913945,0.001966385170817375,0.0010615078499540687,0.0010615078499540687
weights_step_50_out.weight_std,,,,0.004977282602339983,0.004977282602339983,0.003691061632707715,0.0019158440409228206,0.0003890407970175147,0.0003890407970175147
weights_step_50_out.weight_max,,,,0.0023651383817195892,0.0023651383817195892,0.0016110185533761978,0.0,0.0011288922978565097,0.0011288922978565097
weights_step_50_out.weight_min,,,,0.003085892414674163,0.003085892414674163,0.0023220146540552378,0.0015036914264783263,0.001472948701120913,0.001472948701120913
weights_step_50_out.weight_var,,,,0.0005998886190354824,0.0005998886190354824,0.0008920736727304757,0.0007599650416523218,0.0030472390353679657,0.0030472390353679657
weights_step_50_out.weight_frobenius_norm,,,,0.0026291075628250837,0.0026291075628250837,0.0023051367606967688,0.0015764674171805382,0.002329588867723942,0.002329588867723942
weights_step_50_out.weight_spectral_norm,,,,0.004832650069147348,0.004832650069147348,0.003807227360084653,0.0029978733509778976,0.0029046963900327682,0.0029046963900327682
weights_step_50_out.weight_alpha,,,,0.004918846767395735,0.004918846767395735,0.002906411187723279,0.0022798071149736643,0.0022516397293657064,0.0022516397293657064
weights_step_50_out.weight_alpha_hat,,,,0.0034533992875367403,0.0034533992875367403,0.0016001040348783135,0.00024176569422706962,0.0004788005317095667,0.0004788005317095667
weights_step_50_model_variance,,,,0.0026075851637870073,0.0026075851637870073,0.002429492538794875,0.002273139776661992,0.0023660515435039997,0.0023660515435039997
weights_step_500_mlp.0.weight_input_size,,,,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_500_mlp.0.weight_output_size,,,,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_500_mlp.0.weight_mean,,,,0.006576467305421829,0.006576467305421829,0.005925310775637627,0.004393679555505514,0.003504406427964568,0.003504406427964568
weights_step_500_mlp.0.weight_median,,,,0.006323173176497221,0.006323173176497221,0.004814408253878355,0.0042730881832540035,0.0030162597540766,0.0030162597540766
weights_step_500_mlp.0.weight_std,,,,0.005608372390270233,0.005608372390270233,0.006121734157204628,0.0038059630896896124,0.0037558861076831818,0.0037558861076831818
weights_step_500_mlp.0.weight_max,,,,0.010423039086163044,0.010423039086163044,0.008973860181868076,0.008649026043713093,0.00801659282296896,0.00801659282296896
weights_step_500_mlp.0.weight_min,,,,0.023552604019641876,0.023552604019641876,0.019914640113711357,0.017688341438770294,0.014425757341086864,0.014425757341086864
weights_step_500_mlp.0.weight_var,,,,0.0057137287221848965,0.0057137287221848965,0.005221622530370951,0.001742257154546678,0.002280249958857894,0.002280249958857894
weights_step_500_mlp.0.weight_frobenius_norm,,,,0.005384668707847595,0.005384668707847595,0.006049351301044226,0.003062233328819275,0.0009569267858751118,0.0009569267858751118
weights_step_500_mlp.0.weight_spectral_norm,,,,0.00564914895221591,0.00564914895221591,0.005850256886333227,0.003659459063783288,0.006195781286805868,0.006195781286805868
