,start,step_10,step_25,step_50,step_100,step_200,step_300,step_400,step_500
weights_step_10_mlp.2.weight_max,,0.007724704220890999,0.0053858328610658646,0.002819439396262169,0.002819439396262169,7.73083811509423e-05,5.701508416677825e-05,0.0010705332970246673,0.0010705332970246673
weights_step_10_mlp.2.weight_min,,0.014656048268079758,0.011951875872910023,0.010889414697885513,0.010889414697885513,0.010133551433682442,0.009906954132020473,0.0055842529982328415,0.0055842529982328415
weights_step_10_mlp.2.weight_var,,0.011084415949881077,7.441972411470488e-05,0.0003196123579982668,0.0003196123579982668,0.0,5.4718151659471914e-05,0.0,0.0
weights_step_10_mlp.2.weight_frobenius_norm,,0.008159317076206207,0.005406429525464773,0.0010220903204753995,0.0010220903204753995,0.000807188218459487,6.6020293161273e-05,1.4792494766879827e-05,1.4792494766879827e-05
weights_step_10_mlp.2.weight_spectral_norm,,0.005251386668533087,0.0031789764761924744,0.00043776960228569806,0.00043776960228569806,0.00023727108782622963,0.0003334368811920285,0.00023738837626297027,0.00023738837626297027
weights_step_10_mlp.2.weight_alpha,,0.017075633630156517,0.012539674527943134,0.00547628803178668,0.00547628803178668,0.001728444010950625,0.0026910006999969482,0.0013290210627019405,0.0013290210627019405
weights_step_10_mlp.2.weight_alpha_hat,,0.007234787568449974,0.01022771093994379,0.003944138530641794,0.003944138530641794,0.004006636794656515,0.005336252506822348,0.004135368391871452,0.004135368391871452
weights_step_10_out.weight_input_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_10_out.weight_output_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_10_out.weight_mean,,0.0024891903158277273,0.0011900764657184482,0.0027889341581612825,0.0027889341581612825,0.00415340531617403,0.003166360082104802,0.0029507700819522142,0.0029507700819522142
weights_step_10_out.weight_median,,0.014797373674809933,0.010736639611423016,0.007506228517740965,0.007506228517740965,0.004497204441577196,0.0033525843173265457,0.004522975999861956,0.004522975999861956
weights_step_10_out.weight_std,,0.060222018510103226,0.035932671278715134,0.02061021327972412,0.02061021327972412,0.029844768345355988,0.022259393706917763,0.02464461512863636,0.02464461512863636
weights_step_10_out.weight_max,,0.014623281545937061,0.007462881971150637,0.00982321985065937,0.00982321985065937,0.0029561882838606834,0.0052701570093631744,0.0011868271976709366,0.0011868271976709366
weights_step_10_out.weight_min,,0.017099233344197273,0.015272736549377441,0.011296812444925308,0.011296812444925308,0.010127820074558258,0.0033328973222523928,0.0012002940056845546,0.0012002940056845546
weights_step_10_out.weight_var,,0.0369064025580883,0.02924073301255703,0.015100368298590183,0.015100368298590183,0.025755561888217926,0.024468369781970978,0.012722535990178585,0.012722535990178585
weights_step_10_out.weight_frobenius_norm,,0.0034277820959687233,0.002077252371236682,0.002030531410127878,0.002030531410127878,0.0017486606957390904,0.0016815984854474664,0.0015443762531504035,0.0015443762531504035
weights_step_10_out.weight_spectral_norm,,0.0038561944384127855,0.0026053404435515404,0.0011516347294673324,0.0011516347294673324,0.0011066721053794026,0.001196683500893414,0.0007862239144742489,0.0007862239144742489
weights_step_10_out.weight_alpha,,0.019285151734948158,0.015737125650048256,0.009776712395250797,0.009776712395250797,0.00729671074077487,0.00397828035056591,0.004253971390426159,0.004253971390426159
weights_step_10_out.weight_alpha_hat,,0.006320836488157511,0.002080707112327218,0.0027336308266967535,0.0027336308266967535,0.001092477235943079,0.0013204057468101382,0.00157530652359128,0.00157530652359128
weights_step_10_model_variance,,0.006071190815418959,2.7152016173204174e-06,0.0030324782710522413,0.0030324782710522413,0.003886507824063301,0.003510050242766738,0.0045102969743311405,0.0045102969743311405
weights_step_100_mlp.0.weight_input_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_100_mlp.0.weight_output_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_100_mlp.0.weight_mean,,0.008122477680444717,0.005551184061914682,0.0024547132197767496,0.0024547132197767496,0.0005398186040110886,0.00011754740262404084,0.00020990078337490559,0.00020990078337490559
weights_step_100_mlp.0.weight_median,,0.009078002534806728,0.007654798682779074,0.006193170323967934,0.006193170323967934,0.005002942401915789,0.0002489116450306028,0.0012505891500040889,0.0012505891500040889
weights_step_100_mlp.0.weight_std,,0.007597604300826788,0.003721503308042884,0.0014790245331823826,0.0014790245331823826,0.0007953522144816816,0.0002424325793981552,0.0001293793466174975,0.0001293793466174975
weights_step_100_mlp.0.weight_max,,0.0035785383079200983,0.00291452556848526,0.005456869024783373,0.005456869024783373,0.004175030626356602,0.0028894522693008184,0.0027569392696022987,0.0027569392696022987
weights_step_100_mlp.0.weight_min,,0.012421444058418274,0.008146584965288639,0.005018776748329401,0.005018776748329401,0.0067022815346717834,0.00367155228741467,0.002711624139919877,0.002711624139919877
weights_step_100_mlp.0.weight_var,,0.004332313779741526,0.0037860830780118704,0.0007503178785555065,0.0007503178785555065,0.0002007462317124009,0.0004148076113779098,0.00029722737963311374,0.00029722737963311374
weights_step_100_mlp.0.weight_frobenius_norm,,0.07720480114221573,0.057028282433748245,0.041318852454423904,0.041318852454423904,0.03329342603683472,0.042963266372680664,0.03446684405207634,0.03446684405207634
weights_step_100_mlp.0.weight_spectral_norm,,0.014504208229482174,0.005451207980513573,0.0009096868452616036,0.0009096868452616036,0.0007848812383599579,0.0010059444466605783,0.0010849967366084456,0.0010849967366084456
weights_step_100_mlp.0.weight_alpha,,0.010824956931173801,0.007578665856271982,0.0033567610662430525,0.0033567610662430525,0.004650904331356287,0.00010477600153535604,0.0002042639534920454,0.0002042639534920454
weights_step_100_mlp.0.weight_alpha_hat,,0.015144375152885914,0.0038842682261019945,0.00026180437998846173,0.00026180437998846173,0.00033100866130553186,0.0004691679496318102,0.002582032233476639,0.002582032233476639
weights_step_100_mlp.1.weight_input_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_100_mlp.1.weight_output_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_100_mlp.1.weight_mean,,0.005077536683529615,0.004753716755658388,0.0018988283118233085,0.0018988283118233085,0.000745376804843545,0.001082171336747706,0.0013960069045424461,0.0013960069045424461
weights_step_100_mlp.1.weight_median,,0.0033522099256515503,0.0013652393827214837,0.0007777561550028622,0.0007777561550028622,0.0012607094831764698,0.001188774243928492,0.0011178298154845834,0.0011178298154845834
weights_step_100_mlp.1.weight_std,,0.0038334205746650696,0.0013148508733138442,2.0578816474881023e-05,2.0578816474881023e-05,1.4627173186454456e-05,0.001856965129263699,0.0,0.0
weights_step_100_mlp.1.weight_max,,0.004342280328273773,0.006477688904851675,0.002315300749614835,0.002315300749614835,0.000220604837522842,0.00021495709370356053,0.00021561856556218117,0.00021561856556218117
weights_step_100_mlp.1.weight_min,,0.021631114184856415,0.018018344417214394,0.014713401906192303,0.014713401906192303,0.010160629637539387,0.012849022634327412,0.011889173649251461,0.011889173649251461
weights_step_100_mlp.1.weight_var,,0.0008909025345928967,0.00020142905123066157,1.4609725440095644e-05,1.4609725440095644e-05,0.0,0.0,0.0,0.0
weights_step_100_mlp.1.weight_frobenius_norm,,0.016786161810159683,0.01270336750894785,0.0,0.0,3.4268621675437316e-05,1.2162660823378246e-05,0.0008158914279192686,0.0008158914279192686
weights_step_100_mlp.1.weight_spectral_norm,,0.011498321779072285,0.008764040656387806,0.0006981226033531129,0.0006981226033531129,0.0005972336512058973,0.0003694351762533188,0.002396167255938053,0.002396167255938053
weights_step_100_mlp.1.weight_alpha,,0.04354831576347351,0.033931851387023926,0.027963174507021904,0.027963174507021904,0.019217586144804955,0.014742852188646793,0.011655103415250778,0.011655103415250778
weights_step_100_mlp.1.weight_alpha_hat,,0.0039379713125526905,0.002928026020526886,0.0003377828688826412,0.0003377828688826412,0.0007473133155144751,0.001152989105321467,0.0005515131633728743,0.0005515131633728743
weights_step_100_mlp.2.weight_input_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_100_mlp.2.weight_output_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_100_mlp.2.weight_mean,,0.007443936076015234,0.005692505743354559,0.004316024016588926,0.004316024016588926,0.0020210295915603638,0.0016000786563381553,0.001951991580426693,0.001951991580426693
weights_step_100_mlp.2.weight_median,,0.018499789759516716,0.010556993074715137,0.005729618016630411,0.005729618016630411,0.003062567440792918,0.002138095907866955,0.0035334210842847824,0.0035334210842847824
weights_step_100_mlp.2.weight_std,,0.0025029617827385664,0.0012554032728075981,0.0,0.0,0.0,0.0,0.0002721859491430223,0.0002721859491430223
weights_step_100_mlp.2.weight_max,,0.008706300519406796,0.003421616507694125,0.007227625697851181,0.007227625697851181,0.0009630926069803536,0.0013150256127119064,0.0023973537608981133,0.0023973537608981133
weights_step_100_mlp.2.weight_min,,0.01717997156083584,0.011776038445532322,0.008114383555948734,0.008114383555948734,0.006274177227169275,0.006699079181998968,0.00778680294752121,0.00778680294752121
weights_step_100_mlp.2.weight_var,,0.0013517099432647228,0.00015811108460184187,0.0,0.0,2.3626727852388285e-05,0.0,0.0,0.0
weights_step_100_mlp.2.weight_frobenius_norm,,0.009386028163135052,0.007393123582005501,1.4419126273423899e-05,1.4419126273423899e-05,0.0005614106194116175,0.0005635630222968757,0.0008117100223898888,0.0008117100223898888
weights_step_100_mlp.2.weight_spectral_norm,,0.0035083044786006212,0.003690671408548951,0.0016948956763371825,0.0016948956763371825,0.0015015205135568976,0.0013078410411253572,0.0010884752264246345,0.0010884752264246345
weights_step_100_mlp.2.weight_alpha,,0.036188624799251556,0.024707138538360596,0.022742701694369316,0.022742701694369316,0.018588094040751457,0.01554153487086296,0.01852230913937092,0.01852230913937092
weights_step_100_mlp.2.weight_alpha_hat,,0.002792277140542865,0.00041785734356381,0.0003295794886071235,0.0003295794886071235,0.0,0.00016400450840592384,0.0,0.0
weights_step_100_out.weight_input_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_100_out.weight_output_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_100_out.weight_mean,,0.002443608595058322,0.0017825196264311671,0.002925044158473611,0.002925044158473611,0.002719254931434989,0.0004979364457540214,0.00045010808389633894,0.00045010808389633894
weights_step_100_out.weight_median,,0.0046453638933598995,0.0037939557805657387,0.0002975277020595968,0.0002975277020595968,0.00037866985076107085,0.004905161913484335,0.0008263004128821194,0.0008263004128821194
weights_step_100_out.weight_std,,0.00037695190985687077,0.0004819184250663966,0.0003571890702005476,0.0003571890702005476,8.877299819687323e-07,0.0,2.5854993509710766e-05,2.5854993509710766e-05
